shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
1d0dc5fa-ce2f-479f-844c-a1391dad4144,2,42.096880,-79.237710,24.166959039971882
1d0dc5fa-ce2f-479f-844c-a1391dad4144,3,42.096110,-79.237490,111.69016759225214
1d0dc5fa-ce2f-479f-844c-a1391dad4144,4,42.096130,-79.237390,120.23553316593362
1d0dc5fa-ce2f-479f-844c-a1391dad4144,5,42.096131,-79.237386,120.5763517304687
1d0dc5fa-ce2f-479f-844c-a1391dad4144,6,42.096260,-79.236950,159.31155388178868
1d0dc5fa-ce2f-479f-844c-a1391dad4144,7,42.096920,-79.235440,303.90767283833804
1d0dc5fa-ce2f-479f-844c-a1391dad4144,8,42.097130,-79.235030,345.01264025017116
1d0dc5fa-ce2f-479f-844c-a1391dad4144,9,42.097220,-79.234930,357.9828550124815
1d0dc5fa-ce2f-479f-844c-a1391dad4144,10,42.097480,-79.234440,407.0162653852165
1d0dc5fa-ce2f-479f-844c-a1391dad4144,11,42.097770,-79.234010,454.95930822237057
1d0dc5fa-ce2f-479f-844c-a1391dad4144,12,42.098650,-79.232940,586.7494164875552
1d0dc5fa-ce2f-479f-844c-a1391dad4144,13,42.100420,-79.230700,856.7330531679244
1d0dc5fa-ce2f-479f-844c-a1391dad4144,14,42.103660,-79.226680,1346.41809097151
1d0dc5fa-ce2f-479f-844c-a1391dad4144,15,42.105180,-79.224970,1566.572413911479
1d0dc5fa-ce2f-479f-844c-a1391dad4144,16,42.107510,-79.222430,1899.7863639339146
1d0dc5fa-ce2f-479f-844c-a1391dad4144,17,42.111260,-79.218290,2438.7733507795
1d0dc5fa-ce2f-479f-844c-a1391dad4144,18,42.111260,-79.218300,2439.598244890472
1d0dc5fa-ce2f-479f-844c-a1391dad4144,19,42.111260,-79.218290,2440.423139001444
1d0dc5fa-ce2f-479f-844c-a1391dad4144,20,42.111880,-79.219330,2550.480092171857
1d0dc5fa-ce2f-479f-844c-a1391dad4144,21,42.112350,-79.218820,2617.5702365292727
1d0dc5fa-ce2f-479f-844c-a1391dad4144,22,42.112372,-79.218843,2618.255100042354
1d0dc5fa-ce2f-479f-844c-a1391dad4144,23,42.113580,-79.217480,2793.4211023962757
1d0dc5fa-ce2f-479f-844c-a1391dad4144,24,42.113620,-79.217510,2798.510950514965
1d0dc5fa-ce2f-479f-844c-a1391dad4144,25,42.113580,-79.217480,2803.600798633654
1d0dc5fa-ce2f-479f-844c-a1391dad4144,26,42.113900,-79.217090,2851.569464719704
1d0dc5fa-ce2f-479f-844c-a1391dad4144,27,42.113970,-79.216960,2864.819811440314
1d0dc5fa-ce2f-479f-844c-a1391dad4144,28,42.114070,-79.216750,2885.403686328721
1d0dc5fa-ce2f-479f-844c-a1391dad4144,29,42.114140,-79.216520,2905.9100557599572
1d0dc5fa-ce2f-479f-844c-a1391dad4144,30,42.114200,-79.216170,2935.5408964280437
1d0dc5fa-ce2f-479f-844c-a1391dad4144,31,42.114210,-79.215910,2957.0159538131843
1d0dc5fa-ce2f-479f-844c-a1391dad4144,32,42.114260,-79.212880,3207.0089690246746
1d0dc5fa-ce2f-479f-844c-a1391dad4144,33,42.114260,-79.212871,3207.745762067137
1d0dc5fa-ce2f-479f-844c-a1391dad4144,34,42.114260,-79.212880,3208.4825593058035
1d0dc5fa-ce2f-479f-844c-a1391dad4144,35,42.114290,-79.211660,3309.170128537376
1d0dc5fa-ce2f-479f-844c-a1391dad4144,36,42.114270,-79.211260,3342.239184523579
1d0dc5fa-ce2f-479f-844c-a1391dad4144,37,42.114180,-79.210470,3408.16675224839
1d0dc5fa-ce2f-479f-844c-a1391dad4144,38,42.114160,-79.210180,3432.1907379904615
1d0dc5fa-ce2f-479f-844c-a1391dad4144,39,42.114170,-79.209960,3450.37161225676
1d0dc5fa-ce2f-479f-844c-a1391dad4144,40,42.114170,-79.209960,3450.374187432796
1d0dc5fa-ce2f-479f-844c-a1391dad4144,41,42.114220,-79.209670,3474.9300439206145
1d0dc5fa-ce2f-479f-844c-a1391dad4144,42,42.114290,-79.209400,3498.5221333064583
1d0dc5fa-ce2f-479f-844c-a1391dad4144,43,42.114470,-79.208880,3545.854587992692
1d0dc5fa-ce2f-479f-844c-a1391dad4144,44,42.114500,-79.208730,3558.669175303999
1d0dc5fa-ce2f-479f-844c-a1391dad4144,45,42.114580,-79.207960,3622.802661637632
1d0dc5fa-ce2f-479f-844c-a1391dad4144,46,42.114710,-79.207220,3684.727533576108
1d0dc5fa-ce2f-479f-844c-a1391dad4144,47,42.114710,-79.207230,3685.5523827863367
1d0dc5fa-ce2f-479f-844c-a1391dad4144,48,42.114990,-79.205790,3808.3431955819556
1d0dc5fa-ce2f-479f-844c-a1391dad4144,49,42.115180,-79.204920,3883.150010525321
1d0dc5fa-ce2f-479f-844c-a1391dad4144,50,42.115250,-79.204700,3902.895443869474
1d0dc5fa-ce2f-479f-844c-a1391dad4144,51,42.115310,-79.204570,3915.5245039387396
1d0dc5fa-ce2f-479f-844c-a1391dad4144,52,42.115400,-79.204450,3929.60013476676
1d0dc5fa-ce2f-479f-844c-a1391dad4144,53,42.115730,-79.204150,3973.8584598868347
1d0dc5fa-ce2f-479f-844c-a1391dad4144,54,42.115790,-79.204070,3983.242184118183
1d0dc5fa-ce2f-479f-844c-a1391dad4144,55,42.115930,-79.203760,4013.178098992129
1d0dc5fa-ce2f-479f-844c-a1391dad4144,56,42.116140,-79.203010,4079.300892897326
1d0dc5fa-ce2f-479f-844c-a1391dad4144,57,42.116220,-79.202760,4101.758569217572
1d0dc5fa-ce2f-479f-844c-a1391dad4144,58,42.116310,-79.202550,4121.763128485157
1d0dc5fa-ce2f-479f-844c-a1391dad4144,59,42.116450,-79.202350,4144.445221094776
1d0dc5fa-ce2f-479f-844c-a1391dad4144,60,42.116690,-79.202090,4178.681074395406
1d0dc5fa-ce2f-479f-844c-a1391dad4144,61,42.116695,-79.202085,4179.339544939659
1d0dc5fa-ce2f-479f-844c-a1391dad4144,62,42.116690,-79.202090,4179.998102308753
1d0dc5fa-ce2f-479f-844c-a1391dad4144,63,42.118170,-79.200430,4394.076828629703
1d0dc5fa-ce2f-479f-844c-a1391dad4144,64,42.118810,-79.199740,4485.199388174941
1d0dc5fa-ce2f-479f-844c-a1391dad4144,65,42.118812,-79.199738,4485.502700517288
